keyword,competition level,cpc,search volume,low top of page bid,high top of page bid,search volume trend monthly,search volume trend quarterly,search volume trend yearly,match type,cpc min,cpc max,cpc average,daily impressions min,daily impressions max,daily impressions average,daily clicks min,daily clicks max,daily clicks average,daily cost min,daily cost max,daily cost average,search intent info main intent
candles & accessories,HIGH,0.95,1600,0.35,1.4,21,81,21,,,,,,,,,,,,,,transactional
non toxic plug-in air freshener,HIGH,3.96,1600,0.8,4.82,0,0,19,exact,210.14,256.84,233.49,22.37,27.35,24.86,1.36,1.66,1.51,317.74,388.35,353.04,transactional
glade air freshener refills,HIGH,1.21,1600,0.33,0.69,19,0,46,exact,102.71,125.53,114.12,12.77,15.6,14.18,0.82,1,0.91,93.6,114.41,104.01,transactional
best home fragrances,HIGH,7.97,1600,1.59,7.98,-19,-19,0,exact,,,,,,,,,,,,,transactional
home fragrance system,HIGH,10.05,1600,2.1,10.41,-32,-55,-19,exact,352.73,431.11,391.92,37.14,45.39,41.26,2.81,3.44,3.12,1101.84,1346.69,1224.27,transactional
airwick spray,HIGH,1.98,1300,0.39,4.67,0,0,0,exact,179.69,219.62,199.66,7.4,9.04,8.22,0.43,0.52,0.47,85.05,103.96,94.5,transactional
airwick costco,HIGH,1.4,1300,0.4,1.08,-23,-23,0,exact,,,,,,,,,,,,,commercial
air wick costco,HIGH,1.4,1300,0.4,1.08,-23,-23,0,exact,,,,,,,,,,,,,transactional
glade spray refill,HIGH,0.74,1300,0.33,0.56,0,0,0,exact,329.88,403.18,366.53,11.61,14.19,12.9,0.59,0.72,0.65,214.9,262.66,238.78,transactional
air wick spray,HIGH,1.98,1300,0.39,4.67,0,0,0,exact,253.31,309.6,281.45,23.45,28.66,26.05,1.74,2.12,1.93,489.07,597.75,543.41,transactional
costco air wick,HIGH,1.4,1300,0.4,1.08,-23,-23,0,exact,,,,,,,,,,,,,commercial
airwick essential mist diffuser,HIGH,2.29,1000,0.4,4.4,23,60,60,exact,337.84,412.92,375.38,0.27,0.33,0.3,0.05,0.06,0.05,17.57,21.47,19.52,transactional
air wick essential mist diffuser,HIGH,2.29,1000,0.4,4.4,23,60,60,exact,312.79,382.3,347.55,0.98,1.19,1.08,0.13,0.16,0.15,46.68,57.05,51.86,transactional
glade automatic spray holder,HIGH,0.56,1000,0.3,0.55,23,23,23,exact,36.49,44.6,40.54,1.92,2.34,2.13,0.23,0.29,0.26,9.46,11.56,10.51,transactional
glade air freshener plug in,HIGH,1.18,1000,0.33,0.75,0,0,0,exact,101.39,123.92,112.65,2.36,2.88,2.62,0.29,0.36,0.33,33.06,40.41,36.73,transactional
glade aromatherapy diffuser refill,HIGH,0.56,1000,0.36,1.05,0,0,156,,,,,,,,,,,,,,transactional
young living essential oil diffuser,HIGH,1.22,1000,0.48,2.63,30,30,-32,exact,327.16,399.86,363.51,18.23,22.28,20.25,0.89,1.08,0.98,321.97,393.52,357.75,transactional
air wick plug in scents,HIGH,2.41,880,0.33,3.94,-12,-32,22,exact,312.05,381.4,346.72,6.06,7.4,6.73,0.61,0.74,0.67,210.1,256.79,233.45,transactional
airwick spray refill,HIGH,1.39,880,0.33,0.94,0,0,-12,,,,,,,,,,,,,,transactional
air wick essential mist starter kit,HIGH,2.04,880,0.37,4.2,0,0,0,exact,292.29,357.24,324.76,4.79,5.86,5.32,0.51,0.62,0.56,164.91,201.55,183.23,transactional
